68102802	440106
93434654	420997
63336357	406663
12283875	374148
84096904	302255
97777991	231370
10440534	224958
50859442	222051
93414763	217693
16536750	194705
71189529	188241
26245813	168990
95174886	165584
38847396	147079
30023516	145587
62585595	139041
42628143	137562
40760475	124717
51459799	122634
22469725	117995
73435103	117729
37810155	110477
73605211	103429
19513199	101927
86667037	100999
70519576	97632
70985071	81326
33914928	76538
47556274	76329
43558921	76019
90764360	75050
74844262	70377
69952865	69538
97454212	69086
42670430	66472
38439822	63363
26716534	63152
29509795	62927
84500025	61720
41226433	60874
36671701	59848
73131344	59345
74196222	59223
67709338	58382
98573271	58325
36194007	58136
82758658	57487
66763477	57467
98490746	56311
18653235	55993
35526125	53837
41134228	52356
52400748	52178
14195334	51689
68248137	49503
12110852	49470
66774343	49244
26667384	48996
60094146	47966
83514045	47859
62226096	47753
70641961	47355
80814243	47193
44777872	46431
22968307	46238
94870125	45548
50814033	44852
35399319	44419
91357750	44092
74578947	43986
76367342	43758
63287611	43435
48431928	43099
89585947	42527
18520741	42135
36414370	41934
35054375	40672
50106159	40316
16903741	39951
87344651	39698
70504089	39508
48254593	39441
51273723	39208
70066605	38295
94707633	38026
85197970	37701
13828189	37356
52800091	37274
87707349	36557
57034103	35270
56007031	33910
27428926	33655
24109270	33612
96787360	33498
47687145	33462
73372330	32827
19988580	32341
71147736	31413
39861145	31012
92600393	30095
37349178	29602
56156664	29395
68749204	28496
33861033	28260
81240951	28220
80667989	28216
35085333	28052
68939705	27958
83554740	27358
28944518	27321
71148137	26877
68102329	26450
54874254	25924
73084201	25751
98453544	25684
77850809	25595
18730553	25234
63653972	25213
98470596	25183
64752687	25129
54173244	25089
59979521	24872
36326975	24724
27641519	24711
52883925	24624
28320216	24456
64653775	24224
13106229	24027
39132535	23873
95194731	23801
75955809	23756
32056763	23296
35625745	23202
71948445	23147
86262035	23018
76794311	22930
63726974	22581
49597737	22572
41087593	21620
82352913	21390
31113944	20934
91539730	20686
68038615	20581
37856974	20512
26784635	20191
69381090	20131
81919535	20028
99130164	20028
25100885	20004
70254903	19990
98970326	19948
21078705	19753
71433834	19745
42053917	19744
64749081	19610
62943497	19548
14675592	19370
95341847	19319
79567247	19281
40158037	18786
29507999	18531
51270616	18091
55535812	18031
86287433	17989
26138579	17916
60374687	17912
56572663	17823
40283844	17807
34713457	17791
61612048	17617
42246120	17193
24352677	17140
90949105	17022
16696291	16935
24886806	16858
88416188	16828
56375537	16639
74893187	16638
44237275	16499
61149376	16231
38805628	16194
30475334	16170
44894819	16163
64967479	15893
80532217	15770
15578009	15761
94635370	15722
67479916	15701
52621007	15654
57502980	15636
79732950	15587
92963786	15302
45494672	15195
25534456	15134
58835167	15062
99527829	15044
35880575	15042
27294250	14997
27894461	14823
74447450	14787
39321966	14748
95395420	14689
35546873	14653
61177064	14485
22232743	14451
72349519	14345
75145157	14254
54422801	14167
29061716	14156
39735837	14061
48698466	14023
63090667	13924
51113451	13701
74386312	13633
38368178	13628
97274753	13589
67687169	13577
50030046	13557
40372638	13522
14996629	13513
22238988	13504
59649739	13390
43294898	13358
74508670	13299
89236583	13258
27654858	13243
58290333	13148
37172303	13080
43321823	13077
64841663	13036
88018325	12922
71232518	12871
52469852	12772
92552242	12624
80874541	12612
61865013	12559
71213436	12524
32044503	12492
99080988	12432
59217834	12313
34639697	12257
77122867	12241
18478095	12241
76530851	12219
89563044	12205
86043311	12162
40127792	12157
17696283	12137
93908504	12136
84673070	12078
52996167	11987
58325394	11904
92208921	11844
26478624	11735
20278210	11727
83585092	11720
24484955	11713
66066458	11676
83802217	11640
47325999	11626
65376005	11596
94368417	11558
14807775	11531
68945318	11487
24137064	11388
11997230	11257
87177345	11218
78567974	11213
85607167	11206
63065168	11101
11109231	11091
44887221	11086
35841495	11006
23298179	10988
62503444	10960
21326400	10886
27275388	10873
95164139	10853
78867187	10846
15283874	10768
65042195	10707
80593762	10686
15651722	10684
96864176	10670
92097532	10653
48225670	10619
18587409	10536
20259909	10515
95145056	10376
21039283	10267
90030045	10249
90206730	10142
16810633	10139
20701344	10118
80442720	10075
42725298	10074
67507869	10015
72892726	10014
38313586	9997
79661783	9976
58279727	9965
38543924	9862
54560319	9842
60275469	9823
98795585	9798
38380433	9655
54726840	9619
45542207	9579
20229578	9552
53592642	9481
96214458	9475
35235239	9445
84093774	9419
22300378	9227
96004907	9125
97034629	9016
16574301	9003
46008720	8983
33147295	8982
34817111	8970
23160991	8958
25985301	8879
49168968	8869
21999420	8846
82132822	8809
25985337	8772
49441035	8769
87706096	8563
15915968	8560
94916754	8542
96718791	8520
59741930	8486
14122576	8390
71741839	8309
64488725	8297
44750456	8294
71155875	8294
67613641	8292
88936448	8271
25263175	8245
51381527	8237
94630793	8192
29393215	8176
55048356	8149
36074989	8108
17645389	8055
58804190	8022
36587338	8018
60742118	7997
45991804	7994
12257299	7971
72029008	7971
81339835	7896
44850610	7857
80200006	7798
91668253	7711
63645441	7693
75571570	7542
33042121	7499
85657335	7466
86532403	7329
88478101	7328
54976553	7319
71512872	7300
11967335	7254
64535104	7249
39606015	7232
51490378	7215
13292561	7179
60463271	7170
57345761	7129
95412491	7122
94116311	7116
